Score, Film Name, Year, Date Rated, Mini Review, URL, IMDB ID
100,"Lust, Caution",2007,"Jan 16 2013, 21:54","",https://www.criticker.com/film/Lust-Caution/,tt0808357
100,"The Piano",1993,"Feb 06 2023, 08:52","",https://www.criticker.com/film/The-Piano/,tt0107822
100,"The Tree of Life",2011,"Nov 13 2012, 02:04","",https://www.criticker.com/film/The-Tree-of-Life/,tt0478304
99,"Cosmos",1980,"Mar 12 2016, 00:53","",https://www.criticker.com/tv/Cosmos/,tt0081846
99,"The Godfather: A Novel for Television",1977,"Aug 13 2012, 17:14","",https://www.criticker.com/tv/The-Godfather-A-Novel-for/,tt0809488
99,"The Wolf of Wall Street",2013,"Oct 12 2018, 10:23","",https://www.criticker.com/film/The-Wolf-of-Wall-Street/,tt0993846
98,"Grizzly Man",2005,"Feb 15 2012, 00:48","",https://www.criticker.com/film/Grizzly-Man/,tt0427312
98,"Monty Python and the Holy Grail",1975,"Feb 13 2012, 14:23","",https://www.criticker.com/film/Monty-Python-and-the-Holy/,tt0071853
98,"The Vietnam War",2017,"Oct 02 2020, 21:44","",https://www.criticker.com/tv/The-Vietnam-War/,tt1877514
98,"Waltz with Bashir",2008,"Feb 13 2012, 14:14","",https://www.criticker.com/film/Waltz-with-Bashir/,tt1185616
98,"The Wire",2002,"Nov 21 2015, 14:27","",https://www.criticker.com/tv/The-Wire/,tt0306414
97,"Amadeus",1984,"Nov 13 2012, 02:36","",https://www.criticker.com/film/Amadeus/,tt0086879
97,"The Death of Stalin",2017,"Feb 20 2022, 14:27","",https://www.criticker.com/film/The-Death-of-Stalin/,tt4686844
97,"Futurama",1999,"Jan 18 2018, 10:49","",https://www.criticker.com/tv/Futurama/,tt0149460
97,"The Godfather",1972,"Feb 13 2012, 23:56","",https://www.criticker.com/film/The-Godfather/,tt0068646
97,"The Godfather: Part II",1974,"Feb 13 2012, 14:25","",https://www.criticker.com/film/The-Godfather-Part-II/,tt0071562
97,"The Mole: Undercover in North Korea",2020,"Dec 25 2022, 16:34","",https://www.criticker.com/film/The-Mole-Undercover-in-North/,tt13243898
97,"On Cinema",2012,"Mar 01 2023, 14:35","",https://www.criticker.com/tv/On-Cinema/,tt3204810
97,"The Prestige",2006,"Feb 13 2012, 14:27","",https://www.criticker.com/film/The-Prestige/,tt0482571
96,"And Now for Something Completely Different",1971,"Feb 11 2013, 16:55","",https://www.criticker.com/film/And-Now-for-Something-Completely/,tt0066765
